_geopoint,_longitude,_latitude,_elevation,_precision,householdid,country,District,sublocation,village
-1.5918693 29.4609925 2628.300048828125 10.0,29.4609925,-1.5918693,2628.3,10,1,Rwanda,Nyabihu,Jenda,Rega
-1.5955344 29.453082 2563.699951171875 9.0,29.453082,-1.5955344,2563.7,9,2,Rwanda,Nyabihu,Jenda,Rega
-1.6044226 29.4523515 2532.39990234375 9.0,29.4523515,-1.6044226,2532.4,9,3,Rwanda,Nyabihu,Jenda,Rega
-1.5930767 29.4536756 2583.89990234375 9.5,29.4536756,-1.5930767,2583.9,9.5,4,Rwanda,Nyabihu,Jenda,Rega
-1.5946937 29.4612883 2604.800048828125 9.5,29.4612883,-1.5946937,2604.8,9.5,5,Rwanda,Nyabihu,Jenda,Rega
-1.5905833 29.5223206 2279.39990234375 9.5,29.5223206,-1.5905833,2279.4,9.5,6,Rwanda,Nyabihu,Jenda,Rukoro
-1.5950207 29.4527384 2573.10009765625 7.5,29.4527384,-1.5950207,2573.1,7.5,7,Rwanda,Nyabihu,Jenda,Rega
-1.6036397 29.4543458 2534.89990234375 8.5,29.4543458,-1.6036397,2534.9,8.5,8,Rwanda,Nyabihu,Jenda,Rega
-1.5958174 29.4529069 2562.800048828125 8.0,29.4529069,-1.5958174,2562.8,8,9,Rwanda,Nyabihu,Jenda,Rega
-1.598269 29.4511144 2566.5 10.0,29.4511144,-1.598269,2566.5,10,10,Rwanda,Nyabihu,Jenda,Rega
-1.5711242 29.5028112 2602.300048828125 8.5,29.5028112,-1.5711242,2602.3,8.5,11,Rwanda,Nyabihu,Mukamira,Gasizi
-1.570805 29.5026255 2644.39990234375 10.0,29.5026255,-1.570805,2644.4,10,12,Rwanda,Nyabihu,Mukamira,Gasizi
-1.5768763 29.4986194 2611.10009765625 8.5,29.4986194,-1.5768763,2611.1,8.5,13,Rwanda,Nyabihu,Mukamira,Gasizi
