"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"SARI-Suyolo","PG17362-N1","SARI-Diedi","-1.057053","9.431432","2020-07-01 13:18:11","2020-11-12 10:42:32","C","A"
"SARI-Nan","CRI-Apomuden","CRI-Ligri","-1.057041","9.43139","2020-07-01 13:20:05","2020-11-12 10:55:35","A","C"
"SARI-Janlow","SARI-Nyoriberi-gu","CRI-Dadanyuie","-1.134537","9.485933","2020-07-01 13:44:32","2020-12-17 12:32:32","C","A"
"SARI-Tiemeh","PG17265-N1","SARI-Nyumingre (Obare)","-0.8647364","9.404276","2020-06-30 17:09:40","2020-11-22 14:43:19","C","B"
"PG17305-N1","SARI-Nan","PGN16021-39","-1.015874","9.375634","2020-06-30 16:33:02","2020-11-11 09:55:28","B","C"
"SARI-Nyoriberi-gu","PGN16021-39","CRI-Okumkum","-1.127824","9.487643","2020-07-01 13:53:29","2020-12-17 11:26:21","B","C"
"CRI-Ligri","SARI-Suyolo","PG17305-N1","-1.057165","9.432161","2020-06-30 15:06:29","2020-11-12 09:34:39","C","A"
"PG17265-N1","SARI-Diedi","SARI-Janlow","-1.127811","9.487631","2020-07-01 13:46:31","2020-12-17 11:10:02","B","A"
"SARI-Tiemeh","PG17305-N1","SARI-Nyoriberi-gu","-0.8781699","9.404449","2020-06-30 14:35:12","2020-11-13 14:51:00","A","C"
"CRI-Dadanyuie","SARI-Nyumingre (Obare)","PGN16021-39","-1.127844","9.487576","2020-07-01 13:12:11","2020-12-17 10:44:37","A","B"
"CRI-Apomuden","CRI-Ligri","PG17305-N1","-0.8781077","9.404484","2020-06-30 15:11:37","2020-11-16 14:16:07","B","A"
"SARI-Janlow","PG17265-N1","SARI-Nyumingre (Obare)","-1.057268","9.431901","2020-07-02 11:45:29","2020-12-17 13:57:03","B","C"
"SARI-Nan","SARI-Nyumingre (Obare)","PG17362-N1","-0.8647607","9.404282","2020-06-30 16:35:39","2020-11-22 15:42:31","B","C"
"CRI-Okumkum","PGN16021-39","SARI-Tiemeh","-1.127865","9.487636","2020-07-01 14:39:52","2020-12-17 11:33:53","C","A"
"CRI-Ligri","SARI-Janlow","SARI-Nyoriberi-gu","-0.8783394","9.404516","2020-06-30 14:47:36","2020-11-13 14:45:19","B","C"
"PG17305-N1","PG17362-N1","CRI-Dadanyuie","-0.8781253","9.404416","2020-06-30 14:44:23","2020-11-13 14:38:40","B","C"
"SARI-Suyolo","CRI-Dadanyuie","PG17265-N1","-1.052543","9.425253","2020-06-30 14:52:16","2020-12-02 12:33:44","C","B"
"CRI-Apomuden","CRI-Okumkum","PG17362-N1","-1.127843","9.487624","2020-07-01 14:47:52","2020-12-17 11:38:32","C","A"
"SARI-Tiemeh","PG17305-N1","SARI-Janlow","-1.127877","9.487644","2020-07-01 13:57:35","2020-12-17 11:30:13","B","A"
"PG17265-N1","SARI-Nyumingre (Obare)","SARI-Nan","-0.8647502","9.404354","2020-06-30 16:38:07","2020-11-22 15:39:43","C","B"
"SARI-Diedi","SARI-Nyoriberi-gu","SARI-Suyolo","-0.9774367","9.407425","2020-06-30 10:39:56","2020-12-22 06:58:34","C","A"
"PGN16021-39","SARI-Nan","SARI-Diedi","-1.087917","9.503293","2020-06-30 09:00:44","2020-11-17 08:18:45","A","C"
"SARI-Nyumingre (Obare)","PG17305-N1","CRI-Dadanyuie","-1.125521","9.523939","2020-06-30 09:19:28","2020-11-17 08:47:55","A","C"
"CRI-Apomuden","SARI-Tiemeh","PGN16021-39","-1.127875","9.487645","2020-07-03 10:14:16","2020-12-17 11:40:53","B","A"
"PG17362-N1","CRI-Dadanyuie","SARI-Nyoriberi-gu","-1.026287","9.390293","2020-06-30 14:23:07","2020-11-11 10:48:49","C","A"
"SARI-Diedi","SARI-Tiemeh","PG17362-N1","-1.113507","9.542696","2020-06-30 09:54:04","2020-11-17 09:28:57","B","C"
